,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
23,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,4,1,0,3,0,0,3,1,5,0,2,5,0,1,0,85246019.34861892,0.0,47842699.56310011,0.0,79591223.60465036,0.0,21450958.46584703,0.0014209396738357983,37556089.06580733,0.013960340700333852,575500000.0,0.0
24,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,9,3,0,0,0,1,0,6,0,2,6,0,0,5,248410761.78812402,0.0,29363965.277739026,0.0339041512282119,52771009.1301844,0.0,22613901.296318516,0.001069857688315766,36676675.840294495,0.0,151900000.0,0.0
25,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,7,1,5,0,6,6,0,2,9,137636558.714793,0.05177507846914292,19023162.896680217,0.021840843885637184,97583078.29857512,0.0,29339924.239788793,0.0007809392660533339,84384152.9491242,0.0,61400000.0,0.0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,0,0,2,1,1,10,0,1,5,0,0,7,136578326.41305238,0.0,83601533.81492174,0.01700221615452711,92412231.47657146,0.0030326012773750494,19513394.95274879,0.0003669154209572197,49520923.836634815,0.002111921421933554,0.0,1689.2397450978033
27,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,2,0,7,0,0,0,6,7,1,3,2,6,1,0,0,110130504.5881955,0.0,24470905.786543638,0.028261712397580553,104682189.75338379,0.0,31452076.64453512,0.0,25037214.086173728,0.0,1134000000.0,0.0
28,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,0,9,7,0,0,0,3,1,5,5,3,3,71223146.50296113,0.0,194527078.7456475,0.006132917161307513,15074934.104935894,0.03247268452702376,28105580.528124608,0.0,112292344.63704439,0.0,176700000.0,0.0
29,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,5,7,7,7,7,1,6,0,0,0,5,6,0,0,0,236553880.5221526,0.0,227287810.2552685,0.0,31398797.71871161,0.0,27333665.725090373,0.0008392080605386694,12518874.979633596,0.013960340700333852,613800000.0,0.0
30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,5,2,4,10,3,6,0,0,0,1,4,0,0,1,158579616.9901709,0.0077662617703714385,243779392.68309125,0.0,31398797.71871161,0.0,20890670.518522866,0.000434597221393679,96868627.95640723,0.012054745822319681,61400000.0,5557.49665861351
31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,4,3,0,0,0,0,0,1,5,6,3,0,112205117.46828252,0.009470039790515358,108083458.32956028,0.0,47111317.801002294,0.10331523304695774,24020068.953815505,0.003933713114026454,77404471.7832109,0.0,30700000.0,0.0
32,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,3,0,0,2,5,0,1,6,1,2,6,32694901.094161935,0.0,54474701.63612509,0.0076461363303417735,57451388.98659462,0.009747892898327906,23841332.673406985,0.0028398339915972205,98102728.93144882,0.0,267200000.0,0.0
33,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,4,7,5,0,1,0,0,3,1,164498634.84188095,0.1130201967288012,80695023.59564462,0.0034292953394890273,107223484.85003497,0.0,10809469.742978672,0.0028381796034451477,63609403.810100034,0.006187842351319962,61400000.0,0.0
34,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,5,7,0,0,3,2,1,8,0,0,2,0,0,2,181186165.6944571,0.0,67418676.41492613,0.0226027674854746,85117414.1185509,0.0,11853176.760409627,0.00274917473632149,33292745.507975895,0.006450030931823563,151900000.0,0.0
35,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,2,2,0,6,2,0,0,2,0,2,1,32694901.094161935,0.0,95730813.58652791,0.008223681548403269,62978326.77853384,0.00965639381356386,8627887.704935005,0.0007739225526626752,64425881.67106147,0.011127846266521708,1471100000.0,0.0
36,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5,0,0,4,0,0,0,3,5,8,0,1,6,94979303.71425684,0.0,77097796.03994109,0.02740129183546177,37836129.80557212,0.08259681692162031,41772883.41586425,0.0,89595340.6591557,0.02533804330279974,115300000.0,0.0
37,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,2,4,1,0,10,7,0,0,5,78453877.84187987,0.0,54660859.66663572,0.01935601034783248,79838586.59703891,0.010205388322148139,45221322.891401395,0.00304156202477972,98563057.61625443,0.06883670613583505,248500000.0,0.0
38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,7,4,3,6,5,0,0,4,0,2,0,181609700.87076128,0.15532523540742876,203600384.21325204,0.0,97894021.5953229,0.0,13859871.200011611,0.0024489779404424645,33143561.680110045,0.006187842351319962,30700000.0,0.0
39,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,6,3,5,4,0,0,0,0,1,0,32694901.094161935,0.0,128258761.62498416,0.017214107372903055,90596663.84188202,0.0,7764239.980725541,0.004871929164535373,76409376.25870012,0.05722499048576122,371400000.0,0.0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,5,5,5,1,6,0,0,0,1,7,0,0,1,154456759.19007495,0.0,183206380.3856222,0.0,31398797.71871161,0.0,28664060.205619685,0.0005917194271470922,117157380.70082961,0.01234767440380813,0.0,7719.40932705954
41,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5,2,0,0,3,0,0,0,0,3,1,0,0,0,169951219.49086463,0.0,72076250.28382003,0.027998482656013464,37836129.80557212,0.08259681692162031,19468730.621882044,0.00240126233730608,78125138.23061514,0.08657749909302793,115300000.0,0.0
42,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,4,6,7,1,8,6,0,2,0,0,1,6,0,0,0,212649028.4929304,0.0,214570941.6605376,0.003446128562625658,32400179.797252752,0.022306901029326903,22197614.30011794,0.0017625078840386654,7455746.606351422,0.00829280909911574,273100000.0,0.0
43,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3,6,5,3,0,1,4,0,0,0,0,0,7,0,1,0,187947431.44764256,0.0,104460530.81823424,0.001536150146868532,10811528.8083169,0.002831655457380548,17008942.787622415,0.00020113129087870893,102546567.45881236,0.01038409387942726,658200000.0,7527.854044610847
44,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,2,0,3,7,7,0,0,5,0,3,0,189212136.8698928,0.10355015693828584,48468257.71985411,0.006526227456295396,109936542.7317845,0.0,14506824.627678327,0.002005428236274566,30351526.042379983,0.0,61400000.0,0.0
45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,1,0,1,7,7,0,0,0,0,0,37255203.23710208,0.0,147017700.56164694,0.009858105032196477,107844065.37813592,0.11440976302732739,14261651.781499248,0.0,86803090.61019808,0.09674959935574778,84600000.0,0.0
46,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,4,5,5,0,0,0,0,0,3,1,4,1,1,0,0,182614739.10721666,0.0,15995291.401698973,0.01839875148392254,24198032.45136138,0.0,24475938.98721271,0.0004193902593646972,83021542.12412028,0.06496332417523136,822100000.0,0.0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,3,2,1,1,6,0,0,7,7,132759272.89461234,0.05177507846914292,86566669.80398649,0.010460519489883278,72729638.17053153,0.0,19337348.34775413,0.0,104026058.93024158,0.004311588545306075,0.0,0.0
48,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,3,7,2,1,3,0,4,0,0,0,0,5,0,0,1,7,159512409.85228848,0.0,106860238.4866137,0.0,16272681.351806307,0.004273836758805192,16147290.857597891,0.0003838841017571715,123093948.96956167,0.0070152205615003115,363800000.0,5345.063945525056
49,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,7,5,1,1,0,4,0,0,0,2,3,0,6,2,4,185354345.85630804,0.0,99119317.36154114,0.0066229255550652585,0.0,0.0,16373078.863592021,0.0,117682136.49428794,0.0,1074200000.0,0.0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,0,3,0,1,2,2,3,7,0,6,6,6,139379418.20097363,0.0,72692027.44119114,0.029010630459792845,77202385.43419556,0.021100909267384206,24227584.784522224,0.0,149816641.61135763,0.0,0.0,0.0
51,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4,1,8,1,0,0,0,0,1,0,1,6,0,0,0,175503004.04341638,0.0,58558525.43943527,0.023888725886708168,63568512.04152501,0.09497938180463641,19337348.34775413,0.0,0.0,0.0,498500000.0,0.0
52,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,10,1,0,0,0,7,3,7,0,0,1,7,0,0,246347897.01180154,0.0,35608833.65959528,0.04110193775319265,112723554.27543761,0.0,8998084.418534657,0.0016030054394568193,44193513.54513965,0.0,286800000.0,0.0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,4,4,0,0,0,0,0,4,0,1,1,169984784.87457845,0.05177507846914292,174367466.21609122,0.0,98549630.23154426,0.2152815999107085,13833464.34579562,0.0024587079268432403,50929971.20054293,0.0,0.0,0.0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,3,2,0,6,0,0,0,4,6,0,6,64886700.595796466,0.028410119371546073,193761685.0383232,0.0,67780074.12237579,0.07969861278118535,17556268.494638465,0.004876802842099669,89542814.51096618,0.0,0.0,0.0
55,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,4,3,1,0,9,3,0,0,0,0,1,5,6,3,5,3,78453877.84187987,0.0,154728075.86138678,0.0,15968046.585486012,0.004128892108766155,35571884.12823592,0.00019364287598686985,110629699.17569578,0.0,527700000.0,1253.719435424994
56,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,3,3,5,7,0,7,0,0,0,0,0,5,6,0,3,7,191140712.25215495,0.0,81451066.2705727,0.0011246347061298488,10829991.521427216,0.0028404399816253376,28210417.51156178,0.0001607129165829972,109754512.09549062,0.004059537522872538,486700000.0,3693.4564876539025
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,7,7,3,0,5,0,3,0,77099991.75787257,0.0,63292547.82735096,0.02957431509658943,113674171.77199155,0.07880856027271693,20696082.48629594,0.0,40304526.95499367,0.011016704807390573,0.0,0.0
58,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,6,2,9,0,0,0,0,0,1,0,7,1,0,0,6,217853114.88005513,0.0,29363965.277739026,0.0339041512282119,40480997.63155505,0.04363697487109529,22860900.118282884,0.00034499315735477795,40273672.383724004,0.0,408000000.0,0.0
59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,6,3,7,6,7,3,0,0,0,0,7,0,3,0,210412756.01456407,0.0,270346921.93940926,0.0,24198032.45136138,0.0,24528114.708677612,0.006516338774311615,64238640.62597282,0.037872399619653496,30700000.0,0.0
60,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,3,0,3,5,10,0,0,0,0,0,2,5,4,4,0,89068254.21950817,0.0,177142338.93407154,0.0,2660868.2961119446,0.0057310192648992574,23231060.734761335,0.0026099808916051643,71555540.28476302,0.0,648900000.0,0.0
61,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,6,5,1,0,1,0,0,7,3,0,0,0,0,1,1,174059651.0659076,0.0,50675550.93549658,0.0145106571003667,64835987.44502628,0.0,232493.44786789067,0.00013731073144877197,50929971.20054293,0.0,650400000.0,0.0
62,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,7,5,3,0,1,4,0,0,0,1,3,7,6,1,4,199716683.5766434,0.0,101576894.56096837,0.00938056268124615,0.0,0.0,32154960.11662154,0.0004998342299787197,113130614.77905937,0.0,771800000.0,0.0
63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,1,0,4,5,4,0,0,1,0,5,1,97791770.1940225,0.05177507846914292,90143923.5488522,0.0,95070908.9808432,0.0,15997413.498813607,0.006155484196447,71859444.72391127,0.006187842351319962,30700000.0,0.0
64,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,3,6,5,1,1,0,4,0,0,0,3,0,0,0,2,0,174059651.0659076,0.0,99222825.9695344,0.0008230308814773666,16217293.212475348,0.004247483186070822,8453407.696608048,0.0,81374298.83640486,0.007227899885599177,960600000.0,5398.033547579883
65,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,5,7,0,0,6,6,0,1,3,10,4,0,0,0,134576627.39671084,0.0,103856375.71260943,0.005235690076339733,56232105.137590505,0.0,46005320.13918626,0.0,46197010.67440338,0.006195360781956332,302400000.0,6065.912035127071
66,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,2,6,1,0,3,0,0,0,3,3,0,0,5,8,185735918.4681636,0.0,93518469.79696667,0.006858590678978055,16272681.351806307,0.0356153063233766,17803345.000196747,0.0,133460437.00664222,0.0440613529403219,146000000.0,0.0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,5,0,5,0,0,1,3,1,0,0,0,1,109503342.08350585,0.0,129688488.72986558,0.0,109058878.18654096,0.19499842831698116,15444563.06553661,0.0,58015436.88198297,0.036666702738295726,0.0,0.0
68,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,2,0,2,1,0,0,0,0,0,1,2,6,3,4,0,77099991.75787257,0.0,46783592.49254677,0.009934388332597887,0.0,0.0,27951894.293932427,8.044045246582609e-05,67268466.33257627,0.0,1245700000.0,0.0
69,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,6,0,2,0,4,7,4,0,0,8,0,3,1,162729504.51225197,0.05177507846914292,51366168.87077831,0.009955522795784424,103757521.64731707,0.0,22543150.93600491,0.003979973447363096,58044072.09764524,0.0,61400000.0,0.0
70,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,10,7,5,0,1,6,0,2,2,78453877.84187987,0.0,24406847.998872157,0.02811586765324622,143086988.56770414,0.0,24130826.49455275,0.0029266445762404034,76309785.58511783,0.021268119363913863,581600000.0,0.0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,6,6,7,1,0,0,0,0,7,0,3,0,215771944.13273668,0.0,256566302.71167576,0.0,68290400.88299643,0.1068036082638314,23918494.38434682,0.005971414423430891,55045884.55562298,0.02740997643295703,0.0,0.0
72,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,6,4,0,0,0,0,0,0,1,5,6,6,2,6,6,119252509.8856793,0.0,19948180.87764949,0.023057198602985694,20299287.62732069,0.0,44172317.2894126,0.0,123345108.08767249,0.0,1682800000.0,0.0
73,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,2,0,0,3,0,1,2,2,0,0,0,1,0,1,106293784.88118687,0.0,60700967.34494468,0.014895027558834269,72590013.70935078,0.01058756557005101,14270463.04061811,0.008895803342987212,58707401.02920964,0.00876221800497548,333100000.0,0.0
74,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,2,0,6,4,0,0,4,0,0,0,0,1,1,71223146.50296113,0.0,143191382.78617108,0.0016440775101277064,53173330.74525955,0.007022113676236372,13985820.321358401,0.0010374166723412799,76784055.6574201,0.0034464188281107823,115300000.0,5445.495349799513
75,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,8,7,0,0,0,0,0,7,3,1,0,77099991.75787257,0.0,186990853.44268724,0.0113013837427373,41231795.519551,0.08963822606780017,16245176.286955297,0.0011898205446882755,58044072.09764524,0.0,492600000.0,0.0
76,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,3,4,0,0,1,1,5,0,0,1,0,1,7,0,0,0,47847947.961454235,0.0,147147382.77380306,0.000827070855030158,46171703.206132844,0.006770401303926235,21792426.31293238,5.27095585608587e-05,2392618.2330692504,0.00031503329974771557,529200000.0,2042.6209654919398
77,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,4,0,2,0,4,0,0,0,2,4,1,0,1,0,0,4,37255203.23710208,0.0,53358573.6002109,0.0,66896227.081601426,0.004313803361899619,14604634.188477226,0.00013771944448444072,60218964.4920374,0.003568066059871623,795000000.0,3643.0662500482727
78,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,6,1,4,0,6,7,0,0,0,0,0,0,7,0,0,161250294.9980649,0.0,163871803.60770604,0.009371955884415407,10811528.8083169,0.023597128811504567,4883801.514304582,0.0029981515261331103,44193513.54513965,0.0,573600000.0,0.0
79,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,4,0,4,0,7,0,1,0,0,0,5,9,6,2,6,4,47847947.961454235,0.0,121701716.67461371,0.0,0.0,0.0,52678385.06088619,0.0,114321699.71192941,0.0,893000000.0,0.0
80,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3,7,0,3,5,1,1,0,0,0,0,7,1,0,0,0,121644599.3504275,0.0,151439155.4442835,0.0,16217293.212475348,0.004247483186070822,24394997.23384987,0.00015864689225726427,117260297.48880127,0.01570315392617856,573600000.0,10099.979915718333
81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,4,0,7,0,2,4,0,0,1,0,0,7,97791770.1940225,0.00621300941629715,137220471.0599543,0.0,56820429.80052432,0.0017027493050425747,15816842.981806867,0.0007220766162311936,74633946.19613448,0.004057792957177153,30700000.0,5250.480266291287
82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,5,6,0,0,0,0,5,4,0,2,0,128675569.91297239,0.05177507846914292,143953404.2422793,0.007266713691914457,32295723.242328644,0.07079200677098153,23893288.250042945,0.0007809392660533339,27578229.96765524,0.0,30700000.0,0.0
83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,3,6,3,0,6,0,0,0,5,0,6,0,0,1,194611727.85397255,0.0,121888296.0417474,0.0012112207289521266,68782499.5214271,0.15117483432933243,25957753.651390065,0.0,25037214.086173728,0.0,121200000.0,0.0
84,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,3,3,4,0,0,1,0,7,7,88429031.37443781,0.0,35608833.65959528,0.04110193775319265,83263197.67630799,0.0,15063586.973572053,0.005246996308030144,119341838.19199792,0.021268119363913863,115300000.0,0.0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,0,1,5,1,0,0,3,10,7,7,0,7,191345561.7715347,0.0,126940097.02815738,0.0316734803502787,51402788.37765516,0.06893159323957031,53073037.06500058,0.0,100105457.62015328,0.0,0.0,0.0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,1,1,6,0,0,0,4,1,3,6,81953746.33683932,0.009470039790515358,116010902.74047682,0.02181537531808222,56602643.246480025,0.008423892437152915,16574020.38316635,0.004277378889814751,102492928.7032189,0.0,0.0,0.0
