0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,4,6,2,8,10,3,6,8,2,6,3,4,6,3,3,3,206123010.9631061,0.0,268694631.20258206,0.0,110226828.70645653,0.0,35100736.5165644,0.0,101052794.97906452,0.0,556800000.0,0.0
0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,2,1,1,7,5,2,3,10,6,3,4,2,9,3,5,2,139382316.28490794,0.0,170590329.1761617,0.0,129577035.00553298,0.0,40278713.25116089,0.0,107001136.7949155,0.0,1199900000.0,0.0
0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,4,5,1,9,6,8,10,3,7,6,1,7,1,2,1,153823961.45335865,0.0,313898676.66785926,0.0,131042573.79792628,0.0,38362359.90018903,0.0,84727754.2307212,0.001397199193350828,1151900000.0,129.87203369457484
1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,7,9,2,9,4,0,9,1,1,7,2,7,2,9,10,239789149.0008537,0.0,162191618.0352621,0.0,96481650.70641121,0.0,42835394.08700434,0.0,172698663.37684166,0.0046577171751039405,779400000.0,0.0
0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,3,9,3,2,4,0,9,6,2,6,8,0,10,6,2,0,198245464.38704365,0.0,156295954.0347702,0.0,99599968.85895519,0.0,42779651.3623051,0.0,74011736.27191554,0.0,940200000.0,0.0
0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,4,3,9,0,6,5,8,9,10,2,3,1,1,2,1,6,136598613.0637709,0.0,256346025.43426502,0.0,142410131.53861013,0.0,22674612.19534176,0.0,98900677.91008756,0.0,612100000.0,0.0
1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,8,0,7,7,4,5,4,8,5,9,0,3,0,6,9,165451712.33502477,0.0,226798343.32886666,0.0,112151739.35209748,0.0,29582406.110525247,0.0,149589789.11124903,0.01784670347422805,720100000.0,1653.49624037258
0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,2,2,7,4,2,0,0,4,7,0,3,2,8,2,1,1,174873675.86822036,0.0,48003862.82879404,0.0009222531312870765,65547722.11683032,0.0,35618922.051579095,0.0,82048310.80279644,0.0,1011100000.0,274.8981737192262
1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,4,6,0,4,2,0,9,8,6,5,5,10,3,4,8,117299462.54481953,0.0,102336429.85235605,0.0,146647649.3282984,0.0,52687027.227343455,0.0,128582889.2329827,0.0,1592300000.0,0.0
1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,2,1,2,1,3,8,0,0,4,0,7,5,6,6,1,6,107385518.6904647,0.0,137740019.71608213,0.0,29592536.77463711,0.0010365282335963637,47102409.48652041,0.0,121855873.5953589,0.0,1337900000.0,140.8307301335826
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,9,8,0,3,6,9,4,1,8,2,3,6,6,8,6,188504836.94538477,0.0,243344751.75948775,0.0001242247574567566,93728561.50218844,0.0,31262060.828727625,0.0,164025579.19994083,0.0,595100000.0,36.028202696060816
1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,8,3,1,9,2,9,9,1,1,3,9,0,3,4,178037946.31740126,0.0,198920148.93357414,0.0032573082583889053,132722936.02058265,0.0,35817179.19708982,0.0,75261435.78632958,0.003169995071443406,802600000.0,547.8963275798584
1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,8,10,8,7,5,9,0,7,6,2,10,3,2,5,200736896.04393244,0.0,275546152.86621,0.0,86914327.30172125,0.0,48226955.76796037,0.0,104240759.06493892,0.0,485000000.0,0.0
0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,8,10,5,3,2,10,5,1,0,7,6,5,10,111601194.33864394,0.0,261855698.06993467,0.0,113823440.561405,0.0028071556585661664,24060997.446916144,0.0019897984302114846,169333032.78031355,0.0,672100000.0,0.0
0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,2,8,8,7,1,5,3,2,6,6,0,3,2,0,5,225626083.5993754,0.0,199433505.39254242,0.0,85859655.01789269,0.0,22928006.72310114,0.0,66804278.02330021,0.0,1195400000.0,0.0
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,9,10,8,10,0,1,8,5,6,5,0,3,5,7,213954315.08627382,0.0,211495787.5042243,0.0,112575364.21535963,0.003930381094174262,26127534.665142894,0.0,128740464.76812519,0.0,681400000.0,788.8865847673153
0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,5,10,1,3,8,0,1,1,10,8,8,2,3,88511693.9986257,0.0,222279121.17106798,0.0,63844492.59147088,0.0,50757814.76850366,1.0002327444515494e-05,127018951.62226725,0.0,1390100000.0,1.8055985575059363
1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,3,2,10,0,4,0,5,7,3,10,8,2,5,10,2,9,138973384.07292515,0.0,121314835.77466118,0.0,126707790.93099235,0.0,41191126.552297056,0.0,176258666.07324398,0.0,623500000.0,0.0
1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,3,4,0,8,1,2,5,8,0,3,1,4,3,9,9,2,135122680.3738662,0.0,151509290.53398442,0.0004596608383222203,68945584.72862397,0.0,26347134.242014326,0.0,175475280.1278144,0.0,1083700000.0,216.33246578909117
1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,3,1,8,8,1,8,4,10,7,8,5,2,2,9,3,2,214841670.49377722,0.0,197762765.6105349,0.0004573540234561913,158111654.60437208,0.0,29018425.440872654,0.0,135456473.7017713,0.0,779400000.0,215.93706585743445
0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,2,9,1,7,7,10,1,1,1,9,9,4,3,2,1,3,224853474.54985982,0.0,266939969.3357408,0.0,85036972.37969846,0.00010247371431119367,44346404.0791356,0.0,91627086.05003743,0.0006267541845997259,607900000.0,240.974943279152
1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,4,4,0,0,8,0,5,6,7,2,1,5,9,5,138778943.76610827,0.0,87652035.6257889,0.007276544827698892,65941184.48239788,0.0,32090609.224667348,0.0,158213120.24570003,0.0,1278300000.0,0.0
1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,8,6,7,1,5,0,0,6,4,1,7,10,9,10,3,264806848.29365027,0.0,104918298.5879606,0.006152001532339667,77881875.40029192,0.03106081736523466,47740519.5555398,0.0,189301999.71748805,0.0,968400000.0,0.0
0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,7,9,9,6,6,6,7,2,0,7,6,2,0,7,5,321975708.18097794,0.0,245685456.69229835,0.0,62267437.976033404,0.0,41533758.80811687,0.0,134934088.3678273,0.007436126447595023,681400000.0,2745.062117806041
1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,7,1,4,5,8,8,1,5,7,7,1,4,9,3,0,172107283.1314149,0.0,281352956.46857923,0.0,98182117.52313644,0.013718819318414649,34943616.700101204,0.0,94182724.21680857,0.0,672100000.0,0.0
0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,2,3,6,9,10,2,4,1,5,8,2,4,4,8,2,1,224819625.67734224,0.0,239299648.36565697,0.0,95694721.15819672,0.0,29611307.949795473,5.044605903410258e-06,119582427.5119285,0.0,521600000.0,3.161204591252456
1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,2,5,4,6,1,8,1,8,10,8,0,6,6,10,7,8,192730334.84053624,0.0,177321161.83435157,0.0005745760479027755,163400334.050772,0.0,28141169.810116254,1.3644674847944513e-05,205818000.67144418,0.0,735000000.0,185.5036258202346
1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,2,5,3,0,10,0,2,0,7,4,10,7,8,0,10,2,104000676.5449382,0.0,159442877.20111895,0.0,82055441.74595135,0.004722380872619707,68860293.40612525,0.0,96767921.20487039,0.0,1518900000.0,632.710662132296
0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,3,3,4,3,2,2,7,10,8,2,4,0,0,2,2,10,148719583.67997402,0.0,172642490.73676443,2.374368431592897e-05,136976176.8267615,0.0,9695195.36216505,0.0,123618756.30099632,0.0,1080100000.0,11.043062753973368
0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,4,7,4,7,0,4,2,6,7,4,7,10,0,6,7,8,227282139.96827656,0.0,113628595.2556647,0.0015649538455912483,114129776.63094811,0.0,40051137.604525074,0.0,169347710.3000788,0.0,760700000.0,874.7472785583925
0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,3,5,0,10,1,2,6,8,0,4,6,0,5,3,2,1,166478450.24921525,0.0,158822638.80825335,0.0004527403937241341,71831046.38693634,0.0,26127534.665142894,0.0,90472013.62775448,0.0,824000000.0,215.14626599412125
1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,5,4,7,10,7,7,8,8,9,7,5,4,3,0,1,202772641.24325877,0.0,331915525.86545724,0.0,155586903.12401956,0.0,42775327.947975025,0.0,58044072.09764524,0.0,1339800000.0,0.0
0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,9,4,1,2,1,7,6,0,1,4,6,1,9,0,10,200610950.70198756,0.0,164812881.8250401,0.0,56232105.137590505,0.0,32937161.261814862,0.0,131832935.02354917,0.0,1463500000.0,0.0
1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,4,1,1,3,2,1,3,8,6,1,3,0,7,6,2,123922014.83441225,0.0,140443794.73792514,0.0,110876297.38135666,0.0,15982689.388352448,0.0006036141498077104,137830333.23595846,0.0,958900000.0,0.0
1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,2,7,8,9,2,8,7,2,5,0,5,2,6,3,5,2,305810292.8182713,0.0,234067020.5736375,0.0003074177104290255,52967973.44432734,0.0,35666063.36272972,0.0,107001136.7949155,0.0,962500000.0,91.6327245730754
1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,3,1,6,1,0,2,7,6,2,7,1,9,5,6,113829615.07026595,0.0,112832601.01821715,0.0,101253886.02194163,0.0,31137740.08217949,0.0,167204721.49802536,0.0,1222600000.0,0.0
1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,6,2,1,7,0,0,1,0,8,10,9,6,5,2,2,149071578.869657,0.0,73315450.27094865,0.0,58858387.17555533,0.0,69605873.45894785,0.0,104190896.12482566,0.0,1270300000.0,0.0
0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,4,2,8,5,1,6,6,5,3,7,7,9,1,4,6,9,194383626.21147954,0.0,195297426.4407889,0.0007272197184683492,102198402.37754703,0.0,48037384.752243474,0.0,153768664.28262603,0.0,698400000.0,400.9618470565994
0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,4,0,7,9,1,10,4,1,4,7,9,10,6,10,4,125788764.77143934,0.0,281011343.17254627,0.0,80856249.44564922,0.0,72112662.63675168,0.0,168582613.36782506,0.0,1267200000.0,0.0
0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,3,9,0,8,5,7,9,0,0,4,7,4,9,3,2,8,188504836.94538477,0.0,280820226.0815041,0.0,28861648.232152134,0.0006373181032837591,52784950.31130054,0.0,118184063.48171514,0.0,1507700000.0,135.26136145969969
1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,2,3,3,0,0,6,6,10,9,5,0,9,0,9,9,3,89068254.21950817,0.0,167701051.6103736,0.003600727418202272,155569145.121303,0.0,18144080.211109996,0.0,180552869.07120112,0.0,899200000.0,1116.0285967564398
0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,4,5,0,6,7,0,5,0,9,4,2,2,8,4,5,3,125797238.44921103,0.0,148478841.59446153,0.0,90690906.64448021,0.003742717837462264,33599997.36956474,0.0,116398463.55578752,0.0,1658200000.0,916.2945685311363
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,3,7,0,4,7,4,3,3,8,2,2,4,0,8,0,8,128674397.76670545,0.0,210058510.34432134,0.0,97517633.33759095,0.0,17701182.393370774,0.0,111873290.89124909,0.0,800900000.0,0.0
0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,4,10,3,1,0,7,0,2,3,7,1,5,9,0,2,224329729.65981406,0.0,124504892.09841818,0.0122427782568326,62771394.50253755,0.032091266821098294,36740794.946645245,0.0,90430170.7547297,0.0,625800000.0,0.0
0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,2,10,4,3,10,1,7,3,3,6,4,2,4,8,5,4,229756067.42625666,0.0,259142155.93816715,0.0,89374385.29717618,0.0,29942697.591272857,0.0,148110538.852574,0.0,394500000.0,0.0
0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,2,0,5,1,4,9,5,3,0,8,4,5,3,4,6,1,92648501.6727509,0.0,248247732.72034854,0.0,65437350.27960723,0.0,33794538.7241683,0.0,114479718.26030803,0.0,1305500000.0,0.0
